MAP features=0
SOLID 14 22
SOLID 14 23
SOLID 14 24
SOLID 14 26
SOLID 14 27
SOLID 14 29
SOLID 14 30
SOLID 14 31
SOLID 15 0
SOLID 15 1
SOLID 15 3
SOLID 15 4
SOLID 15 5
SOLID 15 6
SOLID 15 7
SOLID 15 8
SOLID 15 10
SOLID 15 11
SOLID 15 12
SOLID 15 13
SOLID 15 14
SOLID 15 15
SOLID 15 16
SOLID 15 18
SOLID 15 26
SOLID 15 27
SOLID 15 29
SOLID 15 30
SOLID 15 31
SOLID 16 0
SOLID 16 1
SOLID 16 3
SOLID 16 4
SOLID 16 5
SOLID 16 6
SOLID 16 7
SOLID 16 8
SOLID 16 20
SOLID 16 22
SOLID 16 23
SOLID 16 24
SOLID 16 26
SOLID 16 27
SOLID 16 29
SOLID 16 30
SOLID 16 31
SOLID 17 10
SOLID 17 11
SOLID 17 12
SOLID 17 13
SOLID 17 14
SOLID 17 15
SOLID 17 16
SOLID 17 18
SOLID 17 20
SOLID 17 26
SOLID 17 27
SOLID 17 29
SOLID 17 30
SOLID 17 31
SOLID 18 1
SOLID 18 3
SOLID 18 4
SOLID 18 5
SOLID 18 6
SOLID 18 7
SOLID 18 8
SOLID 18 10
SOLID 18 11
SOLID 18 12
SOLID 18 13
SOLID 18 14
SOLID 18 15
SOLID 18 16
SOLID 18 22
SOLID 18 23
SOLID 18 24
SOLID 18 29
SOLID 18 30
SOLID 18 31
SOLID 19 1
SOLID 19 3
SOLID 19 4
SOLID 19 5
SOLID 19 6
SOLID 19 7
SOLID 19 8
SOLID 19 10
SOLID 19 11
SOLID 19 12
SOLID 19 13
SOLID 19 14
SOLID 19 15
SOLID 19 16
SOLID 19 18
SOLID 19 20
SOLID 19 22
SOLID 19 23
SOLID 19 24
SOLID 19 26
SOLID 19 27
SOLID 19 29
SOLID 19 30
SOLID 19 31
SOLID 20 1
SOLID 20 3
SOLID 20 4
SOLID 20 5
SOLID 20 6
SOLID 20 7
SOLID 20 10
SOLID 20 11
SOLID 20 12
SOLID 20 13
SOLID 20 14
SOLID 20 15
SOLID 20 16
SOLID 20 18
SOLID 21 1
SOLID 21 3
SOLID 21 4
SOLID 21 5
SOLID 21 6
SOLID 21 7
SOLID 21 9
SOLID 21 10
SOLID 21 11
SOLID 21 12
SOLID 21 13
SOLID 21 14
SOLID 21 15
SOLID 21 16
SOLID 21 18
SOLID 21 20
SOLID 21 22
SOLID 21 23
SOLID 21 24
SOLID 21 25
SOLID 21 26
SOLID 21 27
SOLID 21 29
SOLID 21 30
SOLID 22 1
SOLID 23 3
SOLID 23 4
SOLID 23 5
SOLID 23 6
SOLID 23 7
SOLID 23 9
SOLID 23 10
SOLID 23 11
SOLID 23 12
SOLID 23 13
SOLID 23 14
SOLID 23 15
SOLID 23 16
SOLID 23 18
SOLID 23 19
SOLID 23 21
SOLID 23 22
SOLID 23 23
SOLID 23 24
SOLID 23 25
SOLID 23 26
SOLID 23 27
SOLID 23 29
SOLID 23 30
SOLID 24 1
SOLID 24 9
SOLID 24 10
SOLID 24 11
SOLID 24 21
SOLID 24 22
SOLID 24 23
SOLID 24 24
SOLID 24 25
SOLID 24 26
SOLID 24 27
SOLID 24 29
SOLID 24 30
SOLID 25 3
SOLID 25 4
SOLID 25 5
SOLID 25 6
SOLID 25 7
SOLID 25 9
SOLID 25 10
SOLID 25 12
SOLID 25 13
SOLID 25 14
SOLID 25 15
SOLID 25 16
SOLID 25 18
SOLID 25 19
SOLID 25 20
SOLID 25 21
SOLID 25 22
SOLID 25 29
SOLID 25 30
SOLID 26 1
SOLID 26 3
SOLID 26 4
SOLID 26 5
SOLID 26 6
SOLID 26 7
SOLID 26 9
SOLID 26 10
SOLID 26 12
SOLID 26 13
SOLID 26 14
SOLID 26 15
SOLID 26 16
SOLID 26 18
SOLID 26 19
SOLID 26 20
SOLID 26 21
SOLID 26 22
SOLID 26 24
SOLID 26 25
SOLID 26 26
SOLID 26 27
SOLID 26 29
SOLID 26 30
SOLID 27 1
SOLID 27 3
SOLID 27 4
SOLID 27 5
SOLID 27 6
SOLID 27 7
SOLID 27 9
SOLID 27 10
SOLID 27 12
SOLID 27 13
SOLID 27 14
SOLID 27 15
SOLID 27 16
SOLID 27 18
SOLID 27 19
SOLID 27 20
SOLID 27 21
SOLID 27 22
SOLID 27 24
SOLID 27 25
SOLID 27 26
SOLID 27 27
SOLID 27 29
SOLID 27 30
SOLID 28 1
SOLID 28 3
SOLID 28 4
SOLID 28 5
SOLID 28 6
SOLID 28 7
SOLID 28 14
SOLID 28 15
SOLID 28 16
SOLID 28 18
SOLID 28 19
SOLID 28 20
SOLID 28 21
SOLID 28 22
SOLID 29 8
SOLID 29 10
SOLID 29 12
SOLID 29 13
SOLID 29 14
SOLID 29 15
SOLID 29 16
SOLID 29 18
SOLID 29 19
SOLID 29 20
SOLID 29 21
SOLID 29 22
SOLID 29 24
SOLID 29 25
SOLID 29 26
SOLID 29 27
SOLID 29 29
SOLID 29 31
SOLID 30 1
SOLID 30 3
SOLID 30 4
SOLID 30 5
SOLID 30 6
SOLID 30 7
SOLID 30 8
SOLID 30 10
SOLID 30 12
SOLID 30 13
SOLID 30 14
SOLID 30 15
SOLID 30 16
SOLID 30 18
SOLID 30 19
SOLID 30 20
SOLID 30 21
SOLID 30 22
SOLID 30 24
SOLID 30 25
SOLID 30 26
SOLID 30 27
SOLID 30 29
SOLID 30 31
SOLID 31 21
SOLID 31 22
PLAYER 16 11
VFEATURE 0 31
VFEATURE 5 0
VFEATURE 22 28
VFEATURE 31 16
