MAP features=0
SOLID 30 1
SOLID 30 3
SOLID 30 4
SOLID 30 5
SOLID 30 6
SOLID 30 8
SOLID 30 9
SOLID 30 10
SOLID 30 11
SOLID 30 12
SOLID 30 13
SOLID 30 14
SOLID 30 15
SOLID 30 16
SOLID 30 18
SOLID 30 19
SOLID 30 20
SOLID 30 22
SOLID 30 24
SOLID 30 25
SOLID 30 27
SOLID 30 28
SOLID 31 30
PLAYER 16 11
VFEATURE 0 23
VFEATURE 2 3
VFEATURE 3 31
VFEATURE 15 4
VFEATURE 19 20
VFEATURE 20 17
VFEATURE 28 30
VFEATURE 31 0
