MAP features=1
SOLID 14 6
SOLID 14 7
SOLID 14 29
SOLID 14 30
SOLID 14 31
SOLID 15 1
SOLID 15 2
SOLID 15 3
SOLID 15 4
SOLID 15 5
SOLID 15 6
SOLID 15 7
SOLID 15 9
SOLID 15 11
SOLID 15 12
SOLID 15 14
SOLID 15 15
SOLID 15 16
SOLID 15 17
SOLID 15 18
SOLID 15 19
SOLID 15 21
SOLID 15 23
SOLID 15 24
SOLID 15 26
SOLID 15 27
SOLID 15 29
SOLID 15 30
SOLID 15 31
SOLID 16 1
SOLID 16 2
SOLID 16 3
SOLID 16 4
SOLID 16 27
SOLID 17 1
SOLID 17 2
SOLID 17 3
SOLID 17 4
SOLID 17 6
SOLID 17 7
SOLID 17 9
SOLID 17 11
SOLID 17 13
SOLID 17 15
SOLID 17 16
SOLID 17 18
SOLID 17 19
SOLID 17 21
SOLID 17 23
SOLID 17 24
SOLID 17 26
SOLID 17 27
SOLID 17 28
SOLID 17 29
SOLID 17 30
SOLID 19 1
SOLID 19 2
SOLID 19 3
SOLID 19 4
SOLID 19 6
SOLID 19 7
SOLID 19 9
SOLID 19 10
SOLID 19 11
SOLID 19 13
SOLID 19 15
SOLID 19 16
SOLID 19 17
SOLID 19 19
SOLID 19 21
SOLID 19 23
SOLID 19 24
SOLID 19 26
SOLID 19 27
SOLID 19 28
SOLID 19 29
SOLID 19 30
SOLID 20 1
SOLID 20 2
SOLID 20 3
SOLID 20 4
SOLID 20 6
SOLID 20 7
SOLID 20 9
SOLID 20 10
SOLID 20 11
SOLID 20 13
SOLID 20 15
SOLID 20 16
SOLID 20 17
SOLID 20 19
SOLID 20 21
SOLID 20 23
SOLID 20 24
SOLID 20 26
SOLID 20 27
SOLID 20 28
SOLID 21 1
SOLID 21 2
SOLID 21 3
SOLID 21 4
SOLID 21 6
SOLID 21 7
SOLID 21 9
SOLID 21 10
SOLID 21 11
SOLID 21 30
SOLID 22 1
SOLID 22 2
SOLID 22 3
SOLID 22 4
SOLID 22 13
SOLID 22 15
SOLID 22 17
SOLID 22 19
SOLID 22 20
SOLID 22 22
SOLID 22 24
SOLID 22 26
SOLID 22 28
SOLID 23 1
SOLID 23 2
SOLID 23 3
SOLID 23 4
SOLID 23 6
SOLID 23 7
SOLID 23 9
SOLID 23 10
SOLID 23 11
SOLID 23 13
SOLID 23 15
SOLID 23 17
SOLID 23 26
SOLID 23 28
SOLID 23 30
SOLID 24 9
SOLID 24 15
SOLID 24 17
SOLID 24 19
SOLID 24 20
SOLID 24 22
SOLID 24 24
SOLID 25 1
SOLID 25 2
SOLID 25 3
SOLID 25 4
SOLID 25 6
SOLID 25 7
SOLID 25 9
SOLID 25 11
SOLID 25 13
SOLID 25 15
SOLID 25 17
SOLID 25 19
SOLID 25 20
SOLID 25 22
SOLID 25 24
SOLID 25 25
SOLID 25 27
SOLID 25 28
SOLID 25 30
SOLID 26 1
SOLID 26 2
SOLID 26 3
SOLID 26 4
SOLID 26 19
SOLID 26 20
SOLID 26 22
SOLID 27 1
SOLID 27 2
SOLID 27 3
SOLID 27 4
SOLID 27 5
SOLID 27 6
SOLID 27 7
SOLID 27 9
SOLID 27 11
SOLID 27 12
SOLID 27 14
SOLID 27 15
SOLID 27 17
SOLID 27 18
SOLID 27 20
SOLID 27 22
SOLID 27 24
SOLID 27 25
SOLID 27 27
SOLID 27 28
SOLID 27 30
SOLID 28 1
SOLID 28 2
SOLID 28 3
SOLID 28 4
SOLID 28 5
SOLID 28 6
SOLID 28 7
SOLID 28 9
SOLID 28 11
SOLID 28 12
SOLID 29 6
SOLID 29 7
SOLID 29 14
SOLID 29 15
SOLID 29 17
SOLID 29 18
SOLID 29 20
SOLID 29 22
SOLID 29 24
SOLID 29 25
SOLID 29 27
SOLID 29 28
SOLID 29 30
SOLID 30 1
SOLID 30 2
SOLID 30 3
SOLID 30 4
SOLID 30 6
SOLID 30 7
SOLID 30 8
SOLID 30 9
SOLID 30 11
SOLID 30 12
SOLID 30 21
SOLID 30 22
SOLID 30 24
SOLID 30 25
SOLID 30 30
SOLID 31 1
SOLID 31 2
SOLID 31 3
SOLID 31 4
SOLID 31 14
SOLID 31 16
SOLID 31 18
SOLID 31 19
SOLID 31 27
SOLID 31 28
CREATURE 0 2
CREATURE 0 27
CREATURE 0 29
CREATURE 1 15
CREATURE 1 20
CREATURE 3 29
CREATURE 7 16
CREATURE 10 12
CREATURE 11 25
CREATURE 12 0
CREATURE 13 20
CREATURE 15 0
CREATURE 16 28
CREATURE 18 27
CREATURE 18 29
CREATURE 19 31
CREATURE 21 5
CREATURE 21 18
CREATURE 22 23
CREATURE 27 21
CREATURE 28 18
CREATURE 29 13
CREATURE 31 7
PLAYER 16 11
VFEATURE 2 3
VFEATURE 3 31
VFEATURE 19 20
VFEATURE 31 0
