MAP features=0
SOLID 16 18
SOLID 16 19
SOLID 16 21
SOLID 16 22
SOLID 16 24
SOLID 16 25
SOLID 16 27
SOLID 16 29
SOLID 16 30
SOLID 17 0
SOLID 17 2
SOLID 17 3
SOLID 17 12
SOLID 17 13
SOLID 17 14
SOLID 17 16
SOLID 17 18
SOLID 17 19
SOLID 17 21
SOLID 17 22
SOLID 17 27
SOLID 17 29
SOLID 17 30
SOLID 18 0
SOLID 18 2
SOLID 18 3
SOLID 18 5
SOLID 18 6
SOLID 18 8
SOLID 18 9
SOLID 18 11
SOLID 18 12
SOLID 18 13
SOLID 18 14
SOLID 18 16
SOLID 18 18
SOLID 18 19
SOLID 18 21
SOLID 18 22
SOLID 18 23
SOLID 18 24
SOLID 18 25
SOLID 18 27
SOLID 18 29
SOLID 18 30
SOLID 19 0
SOLID 19 8
SOLID 19 9
SOLID 19 11
SOLID 19 12
SOLID 19 13
SOLID 19 14
SOLID 19 16
SOLID 19 18
SOLID 19 19
SOLID 19 21
SOLID 19 22
SOLID 19 23
SOLID 19 24
SOLID 19 25
SOLID 19 27
SOLID 19 29
SOLID 19 30
SOLID 20 0
SOLID 20 2
SOLID 20 3
SOLID 20 5
SOLID 20 6
SOLID 21 0
SOLID 21 8
SOLID 21 9
SOLID 21 11
SOLID 21 13
SOLID 21 14
SOLID 21 16
SOLID 21 18
SOLID 21 19
SOLID 21 21
SOLID 21 22
SOLID 21 23
SOLID 21 24
SOLID 21 25
SOLID 21 27
SOLID 21 29
SOLID 21 30
SOLID 21 31
SOLID 22 0
SOLID 22 2
SOLID 22 3
SOLID 22 4
SOLID 22 6
SOLID 22 8
SOLID 22 9
SOLID 22 11
SOLID 22 13
SOLID 22 14
SOLID 22 16
SOLID 22 18
SOLID 22 19
SOLID 22 21
SOLID 22 22
SOLID 22 23
SOLID 22 24
SOLID 22 25
SOLID 22 27
SOLID 22 29
SOLID 22 30
SOLID 22 31
SOLID 23 11
SOLID 23 13
SOLID 23 14
SOLID 23 31
SOLID 24 0
SOLID 24 2
SOLID 24 3
SOLID 24 4
SOLID 24 6
SOLID 24 8
SOLID 24 9
SOLID 24 10
SOLID 24 11
SOLID 24 13
SOLID 24 14
SOLID 24 16
SOLID 24 18
SOLID 24 19
SOLID 24 21
SOLID 24 22
SOLID 24 23
SOLID 24 24
SOLID 24 25
SOLID 24 27
SOLID 24 29
SOLID 24 31
SOLID 25 0
SOLID 25 2
SOLID 25 3
SOLID 25 4
SOLID 25 6
SOLID 25 8
SOLID 25 9
SOLID 25 10
SOLID 25 11
SOLID 25 13
SOLID 25 14
SOLID 25 16
SOLID 25 18
SOLID 25 19
SOLID 25 27
SOLID 25 29
SOLID 25 31
SOLID 26 8
SOLID 26 9
SOLID 26 10
SOLID 26 11
SOLID 26 13
SOLID 26 14
SOLID 26 21
SOLID 26 22
SOLID 26 23
SOLID 26 24
SOLID 26 25
SOLID 26 26
SOLID 26 27
SOLID 26 29
SOLID 26 31
SOLID 27 1
SOLID 27 2
SOLID 27 3
SOLID 27 4
SOLID 27 6
SOLID 27 13
SOLID 27 14
SOLID 27 16
SOLID 27 18
SOLID 27 19
SOLID 27 21
SOLID 27 22
SOLID 27 23
SOLID 27 24
SOLID 27 25
SOLID 27 26
SOLID 27 27
SOLID 27 29
SOLID 27 31
SOLID 28 6
SOLID 28 8
SOLID 28 9
SOLID 28 10
SOLID 28 11
SOLID 28 12
SOLID 28 13
SOLID 28 14
SOLID 28 16
SOLID 28 18
SOLID 28 19
SOLID 28 21
SOLID 28 22
SOLID 28 23
SOLID 28 24
SOLID 28 25
SOLID 28 26
SOLID 28 27
SOLID 28 31
SOLID 29 1
SOLID 29 2
SOLID 29 3
SOLID 29 4
SOLID 29 6
SOLID 29 18
SOLID 29 19
SOLID 29 21
SOLID 29 22
SOLID 29 23
SOLID 29 24
SOLID 29 25
SOLID 29 26
SOLID 29 27
SOLID 29 29
SOLID 29 30
SOLID 29 31
SOLID 30 1
SOLID 30 2
SOLID 30 3
SOLID 30 4
SOLID 30 6
SOLID 30 8
SOLID 30 9
SOLID 30 10
SOLID 30 11
SOLID 30 12
SOLID 30 13
SOLID 30 14
SOLID 30 15
SOLID 30 16
SOLID 30 18
SOLID 30 19
SOLID 30 21
SOLID 30 22
SOLID 30 23
SOLID 30 24
SOLID 30 25
SOLID 30 26
SOLID 30 27
SOLID 30 29
SOLID 30 30
SOLID 30 31
SOLID 31 15
SOLID 31 16
SOLID 31 29
SOLID 31 30
SOLID 31 31
PLAYER 16 11
VFEATURE 0 23
VFEATURE 15 4
VFEATURE 20 17
VFEATURE 28 30
