# population at NEWLVL return, before the opening SCHED lap
# source: NEWLVL.ASM, COMCRE.ASM CBIRTH/FNDCEL/CFIND/CREGEN, ONCE.ASM CINI40, OBIRTH.ASM
# creature <level> <second> <slot> <type> <row> <col> <power> <mgo> <mgd> <pho> <phd> <mv> <at> <use>
# object <level> <second> <index> <type> <olevel> <owner> <cls> <reveal> <mgo> <pho> <s0> <s1> <s2> <carrier>
# positions <level> <second> <row,col>...
creature 0 7 1 3 16 23 304 0 255 96 167 31 31 255
creature 0 7 2 2 29 0 200 0 255 52 192 29 23 255
creature 0 7 3 2 6 1 200 0 255 52 192 29 23 255
creature 0 7 4 2 12 2 200 0 255 52 192 29 23 255
creature 0 7 5 2 25 28 200 0 255 52 192 29 23 255
creature 0 7 6 1 6 8 56 0 255 80 128 15 7 255
creature 0 7 7 1 3 0 56 0 255 80 128 15 7 255
creature 0 7 8 1 8 18 56 0 255 80 128 15 7 255
creature 0 7 9 1 8 30 56 0 255 80 128 15 7 255
creature 0 7 10 1 31 6 56 0 255 80 128 15 7 255
creature 0 7 11 1 23 10 56 0 255 80 128 15 7 255
creature 0 7 12 1 20 30 56 0 255 80 128 15 7 255
creature 0 7 13 1 1 8 56 0 255 80 128 15 7 255
creature 0 7 14 1 20 24 56 0 255 80 128 15 7 255
creature 0 7 15 0 12 8 32 0 255 128 255 23 11 255
creature 0 7 16 0 14 28 32 0 255 128 255 23 11 255
creature 0 7 17 0 1 10 32 0 255 128 255 23 11 255
creature 0 7 18 0 6 13 32 0 255 128 255 23 11 255
creature 0 7 19 0 1 27 32 0 255 128 255 23 11 255
creature 0 7 20 0 19 10 32 0 255 128 255 23 11 255
creature 0 7 21 0 28 1 32 0 255 128 255 23 11 255
creature 0 7 22 0 6 11 32 0 255 128 255 23 11 255
creature 0 7 23 0 3 7 32 0 255 128 255 23 11 255
positions 0 7 28,28 16,23 29,0 6,1 12,2 25,28 6,8 3,0 8,18 8,30 31,6 23,10 20,30 1,8 20,24 12,8 14,28 1,10 6,13 1,27 19,10 28,1 6,11 3,7
creature 0 30 0 3 24 12 304 0 255 96 167 31 31 255
creature 0 30 1 3 17 4 304 0 255 96 167 31 31 255
creature 0 30 2 2 6 4 200 0 255 52 192 29 23 255
creature 0 30 3 2 4 6 200 0 255 52 192 29 23 255
creature 0 30 4 2 18 7 200 0 255 52 192 29 23 255
creature 0 30 5 2 6 8 200 0 255 52 192 29 23 255
creature 0 30 6 1 8 31 56 0 255 80 128 15 7 255
creature 0 30 7 1 10 28 56 0 255 80 128 15 7 255
creature 0 30 8 1 16 23 56 0 255 80 128 15 7 255
creature 0 30 9 1 8 20 56 0 255 80 128 15 7 255
creature 0 30 10 1 24 1 56 0 255 80 128 15 7 255
creature 0 30 11 1 7 20 56 0 255 80 128 15 7 255
creature 0 30 12 1 12 9 56 0 255 80 128 15 7 255
creature 0 30 13 1 19 6 56 0 255 80 128 15 7 255
creature 0 30 14 1 27 17 56 0 255 80 128 15 7 255
creature 0 30 15 0 8 30 32 0 255 128 255 23 11 255
creature 0 30 16 0 1 10 32 0 255 128 255 23 11 255
creature 0 30 17 0 22 28 32 0 255 128 255 23 11 255
creature 0 30 18 0 11 0 32 0 255 128 255 23 11 255
creature 0 30 19 0 7 6 32 0 255 128 255 23 11 255
creature 0 30 20 0 28 2 32 0 255 128 255 23 11 255
creature 0 30 21 0 20 10 32 0 255 128 255 23 11 255
creature 0 30 22 0 13 25 32 0 255 128 255 23 11 255
creature 0 30 23 0 3 18 32 0 255 128 255 23 11 255
positions 0 30 24,12 17,4 6,4 4,6 18,7 6,8 8,31 10,28 16,23 8,20 24,1 7,20 12,9 19,6 27,17 8,30 1,10 22,28 11,0 7,6 28,2 20,10 13,25 3,18
creature 0 59 0 3 8 30 304 0 255 96 167 31 31 255
creature 0 59 1 3 31 6 304 0 255 96 167 31 31 255
creature 0 59 2 2 23 10 200 0 255 52 192 29 23 255
creature 0 59 3 2 20 30 200 0 255 52 192 29 23 255
creature 0 59 4 2 1 8 200 0 255 52 192 29 23 255
creature 0 59 5 2 20 24 200 0 255 52 192 29 23 255
creature 0 59 6 1 12 8 56 0 255 80 128 15 7 255
creature 0 59 7 1 14 28 56 0 255 80 128 15 7 255
creature 0 59 8 1 1 10 56 0 255 80 128 15 7 255
creature 0 59 9 1 6 13 56 0 255 80 128 15 7 255
creature 0 59 10 1 1 27 56 0 255 80 128 15 7 255
creature 0 59 11 1 19 10 56 0 255 80 128 15 7 255
creature 0 59 12 1 28 1 56 0 255 80 128 15 7 255
creature 0 59 13 1 6 11 56 0 255 80 128 15 7 255
creature 0 59 14 1 3 7 56 0 255 80 128 15 7 255
creature 0 59 15 0 22 17 32 0 255 128 255 23 11 255
creature 0 59 16 0 14 17 32 0 255 128 255 23 11 255
creature 0 59 17 0 23 21 32 0 255 128 255 23 11 255
creature 0 59 18 0 2 18 32 0 255 128 255 23 11 255
creature 0 59 19 0 29 28 32 0 255 128 255 23 11 255
creature 0 59 20 0 10 4 32 0 255 128 255 23 11 255
creature 0 59 21 0 25 20 32 0 255 128 255 23 11 255
creature 0 59 22 0 1 13 32 0 255 128 255 23 11 255
creature 0 59 23 0 21 3 32 0 255 128 255 23 11 255
positions 0 59 8,30 31,6 23,10 20,30 1,8 20,24 12,8 14,28 1,10 6,13 1,27 19,10 28,1 6,11 3,7 22,17 14,17 23,21 2,18 29,28 10,4 25,20 1,13 21,3
creature 1 1 0 5 27 12 704 0 128 128 48 17 13 255
creature 1 1 1 5 4 30 704 0 128 128 48 17 13 255
creature 1 1 2 5 29 7 704 0 128 128 48 17 13 255
creature 1 1 3 5 21 31 704 0 128 128 48 17 13 255
creature 1 1 4 5 7 30 704 0 128 128 48 17 13 255
creature 1 1 5 5 27 7 704 0 128 128 48 17 13 255
creature 1 1 6 4 0 24 504 0 128 96 60 13 7 255
creature 1 1 7 4 9 13 504 0 128 96 60 13 7 255
creature 1 1 8 4 4 10 504 0 128 96 60 13 7 255
creature 1 1 9 4 28 1 504 0 128 96 60 13 7 255
creature 1 1 10 4 20 31 504 0 128 96 60 13 7 255
creature 1 1 11 4 25 13 504 0 128 96 60 13 7 255
creature 1 1 12 3 1 18 304 0 255 96 167 31 31 255
creature 1 1 13 3 21 26 304 0 255 96 167 31 31 255
creature 1 1 14 3 10 28 304 0 255 96 167 31 31 255
creature 1 1 15 3 12 9 304 0 255 96 167 31 31 255
creature 1 1 16 3 4 1 304 0 255 96 167 31 31 255
creature 1 1 17 3 7 7 304 0 255 96 167 31 31 255
creature 1 1 18 1 7 29 56 0 255 80 128 15 7 255
creature 1 1 19 1 19 30 56 0 255 80 128 15 7 255
creature 1 1 20 1 29 12 56 0 255 80 128 15 7 255
creature 1 1 21 1 25 31 56 0 255 80 128 15 7 255
creature 1 1 22 0 2 26 32 0 255 128 255 23 11 255
creature 1 1 23 0 7 0 32 0 255 128 255 23 11 255
object 1 1 11 6 1 255 1 52 0 5 3 20 0 0
object 1 1 12 7 1 255 2 50 0 5 0 0 0 1
object 1 1 15 8 1 255 0 48 0 5 0 0 0 2
object 1 1 20 8 1 255 0 48 0 5 0 0 0 3
object 1 1 21 9 1 255 0 40 0 5 0 0 0 4
object 1 1 25 10 1 255 5 70 0 5 15 7 0 5
object 1 1 29 11 1 255 3 25 0 10 108 128 0 6
object 1 1 34 11 1 255 3 25 0 10 108 128 0 7
object 1 1 37 13 1 255 4 13 0 16 0 0 0 8
object 1 1 41 14 1 255 5 25 0 5 15 7 0 9
object 1 1 47 14 1 255 5 25 0 5 15 7 0 10
object 1 1 49 15 1 255 5 5 0 5 15 7 0 11
object 1 1 55 15 1 255 5 5 0 5 15 7 0 12
object 1 1 57 16 1 255 3 5 0 10 108 128 0 13
object 1 1 60 17 1 255 4 5 0 16 0 0 0 14
positions 1 1 27,12 4,30 29,7 21,31 7,30 27,7 0,24 9,13 4,10 28,1 20,31 25,13 1,18 21,26 10,28 12,9 4,1 7,7 7,29 19,30 29,12 25,31 2,26 7,0
creature 2 1 0 10 31 7 1000 255 6 255 0 13 7 255
creature 2 1 1 7 27 21 800 0 64 255 8 13 7 255
creature 2 1 2 7 21 5 800 0 64 255 8 13 7 255
creature 2 1 3 7 1 20 800 0 64 255 8 13 7 255
creature 2 1 4 7 0 29 800 0 64 255 8 13 7 255
creature 2 1 5 6 16 28 400 255 128 255 128 5 4 255
creature 2 1 6 6 13 20 400 255 128 255 128 5 4 255
creature 2 1 7 6 29 13 400 255 128 255 128 5 4 255
creature 2 1 8 6 28 18 400 255 128 255 128 5 4 255
creature 2 1 9 6 21 18 400 255 128 255 128 5 4 255
creature 2 1 10 6 10 12 400 255 128 255 128 5 4 255
creature 2 1 11 6 18 27 400 255 128 255 128 5 4 255
creature 2 1 12 6 0 2 400 255 128 255 128 5 4 255
creature 2 1 13 5 15 0 704 0 128 128 48 17 13 255
creature 2 1 14 5 1 15 704 0 128 128 48 17 13 255
creature 2 1 15 5 0 27 704 0 128 128 48 17 13 255
creature 2 1 16 5 3 29 704 0 128 128 48 17 13 255
creature 2 1 17 5 19 31 704 0 128 128 48 17 13 255
creature 2 1 18 5 22 23 704 0 128 128 48 17 13 255
creature 2 1 19 3 12 0 304 0 255 96 167 31 31 255
creature 2 1 20 3 7 16 304 0 255 96 167 31 31 255
creature 2 1 21 3 18 29 304 0 255 96 167 31 31 255
creature 2 1 22 3 11 25 304 0 255 96 167 31 31 255
object 2 1 5 4 2 255 2 130 0 5 0 0 0 0
object 2 1 8 5 2 255 0 70 0 5 0 0 0 1
object 2 1 13 7 2 255 2 50 0 5 0 0 0 2
object 2 1 16 8 2 255 0 48 0 5 0 0 0 3
object 2 1 22 9 2 255 0 40 0 5 0 0 0 4
object 2 1 26 10 2 255 5 70 0 5 15 7 0 5
object 2 1 30 11 2 255 3 25 0 10 108 128 0 6
object 2 1 38 13 2 255 4 13 0 16 0 0 0 7
object 2 1 42 14 2 255 5 25 0 5 15 7 0 8
object 2 1 50 15 2 255 5 5 0 5 15 7 0 9
object 2 1 58 16 2 255 3 5 0 10 108 128 0 10
object 2 1 61 17 2 255 4 5 0 16 0 0 0 11
positions 2 1 31,7 27,21 21,5 1,20 0,29 16,28 13,20 29,13 28,18 21,18 10,12 18,27 0,2 15,0 1,15 0,27 3,29 19,31 22,23 12,0 7,16 18,29 11,25
creature 3 1 0 9 14 15 1000 255 5 255 3 4 3 255
creature 3 1 1 9 11 22 1000 255 5 255 3 4 3 255
creature 3 1 2 9 3 3 1000 255 5 255 3 4 3 255
creature 3 1 3 9 22 6 1000 255 5 255 3 4 3 255
creature 3 1 4 8 10 30 800 192 16 192 8 3 3 255
creature 3 1 5 8 13 13 800 192 16 192 8 3 3 255
creature 3 1 6 8 21 16 800 192 16 192 8 3 3 255
creature 3 1 7 8 9 8 800 192 16 192 8 3 3 255
creature 3 1 8 8 15 15 800 192 16 192 8 3 3 255
creature 3 1 9 8 14 2 800 192 16 192 8 3 3 255
creature 3 1 10 7 27 22 800 0 64 255 8 13 7 255
creature 3 1 11 7 5 16 800 0 64 255 8 13 7 255
creature 3 1 12 7 23 22 800 0 64 255 8 13 7 255
creature 3 1 13 7 11 2 800 0 64 255 8 13 7 255
creature 3 1 14 7 29 22 800 0 64 255 8 13 7 255
creature 3 1 15 7 28 5 800 0 64 255 8 13 7 255
creature 3 1 16 6 18 12 400 255 128 255 128 5 4 255
creature 3 1 17 6 5 22 400 255 128 255 128 5 4 255
creature 3 1 18 6 16 25 400 255 128 255 128 5 4 255
creature 3 1 19 6 22 22 400 255 128 255 128 5 4 255
creature 3 1 20 6 6 19 400 255 128 255 128 5 4 255
creature 3 1 21 6 8 25 400 255 128 255 128 5 4 255
creature 3 1 22 6 17 1 400 255 128 255 128 5 4 255
creature 3 1 23 6 15 10 400 255 128 255 128 5 4 255
object 3 1 1 1 3 255 1 170 0 5 3 19 0 0
object 3 1 2 2 3 255 4 150 0 16 0 0 0 1
object 3 1 3 3 3 255 3 140 0 10 108 128 0 2
object 3 1 6 4 3 255 2 130 0 5 0 0 0 3
object 3 1 9 5 3 255 0 70 0 5 0 0 0 4
object 3 1 14 7 3 255 2 50 0 5 0 0 0 5
object 3 1 17 8 3 255 0 48 0 5 0 0 0 6
object 3 1 23 9 3 255 0 40 0 5 0 0 0 7
object 3 1 27 10 3 255 5 70 0 5 15 7 0 8
object 3 1 31 11 3 255 3 25 0 10 108 128 0 9
object 3 1 39 13 3 255 4 13 0 16 0 0 0 10
object 3 1 43 14 3 255 5 25 0 5 15 7 0 11
object 3 1 51 15 3 255 5 5 0 5 15 7 0 12
object 3 1 62 17 3 255 4 5 0 16 0 0 0 13
positions 3 1 14,15 11,22 3,3 22,6 10,30 13,13 21,16 9,8 15,15 14,2 27,22 5,16 23,22 11,2 29,22 28,5 18,12 5,22 16,25 22,22 6,19 8,25 17,1 15,10
creature 4 1 0 11 31 27 8000 255 6 255 0 13 7 255
creature 4 1 1 9 29 7 1000 255 5 255 3 4 3 255
creature 4 1 2 9 29 9 1000 255 5 255 3 4 3 255
creature 4 1 3 9 16 15 1000 255 5 255 3 4 3 255
creature 4 1 4 9 0 17 1000 255 5 255 3 4 3 255
creature 4 1 5 9 6 8 1000 255 5 255 3 4 3 255
creature 4 1 6 9 24 19 1000 255 5 255 3 4 3 255
creature 4 1 7 9 11 24 1000 255 5 255 3 4 3 255
creature 4 1 8 9 31 23 1000 255 5 255 3 4 3 255
creature 4 1 9 8 27 11 800 192 16 192 8 3 3 255
creature 4 1 10 8 14 8 800 192 16 192 8 3 3 255
creature 4 1 11 8 15 23 800 192 16 192 8 3 3 255
creature 4 1 12 8 1 1 800 192 16 192 8 3 3 255
creature 4 1 13 7 4 1 800 0 64 255 8 13 7 255
creature 4 1 14 7 2 24 800 0 64 255 8 13 7 255
creature 4 1 15 7 11 20 800 0 64 255 8 13 7 255
creature 4 1 16 7 18 25 800 0 64 255 8 13 7 255
creature 4 1 17 6 2 26 400 255 128 255 128 5 4 255
creature 4 1 18 6 9 0 400 255 128 255 128 5 4 255
creature 4 1 19 5 5 11 704 0 128 128 48 17 13 255
creature 4 1 20 5 31 26 704 0 128 128 48 17 13 255
creature 4 1 21 4 24 12 504 0 128 96 60 13 7 255
creature 4 1 22 4 5 5 504 0 128 96 60 13 7 255
creature 4 1 23 3 11 12 304 0 255 96 167 31 31 255
creature 4 1 24 3 0 7 304 0 255 96 167 31 31 255
creature 4 1 25 2 23 8 200 0 255 52 192 29 23 255
creature 4 1 26 2 1 31 200 0 255 52 192 29 23 255
creature 4 1 27 1 24 5 56 0 255 80 128 15 7 255
creature 4 1 28 1 5 7 56 0 255 80 128 15 7 255
creature 4 1 29 0 22 9 32 0 255 128 255 23 11 255
creature 4 1 30 0 19 28 32 0 255 128 255 23 11 255
object 4 1 0 0 4 255 1 255 0 5 3 18 0 0
object 4 1 4 3 4 255 3 140 0 10 108 128 0 1
object 4 1 7 4 4 255 2 130 0 5 0 0 0 2
object 4 1 10 5 4 255 0 70 0 5 0 0 0 3
object 4 1 18 8 4 255 0 48 0 5 0 0 0 4
object 4 1 24 9 4 255 0 40 0 5 0 0 0 5
object 4 1 28 10 4 255 5 70 0 5 15 7 0 6
object 4 1 32 11 4 255 3 25 0 10 108 128 0 7
object 4 1 44 14 4 255 5 25 0 5 15 7 0 8
object 4 1 52 15 4 255 5 5 0 5 15 7 0 9
positions 4 1 31,27 29,7 29,9 16,15 0,17 6,8 24,19 11,24 31,23 27,11 14,8 15,23 1,1 4,1 2,24 11,20 18,25 2,26 9,0 5,11 31,26 24,12 5,5 11,12 0,7 23,8 1,31 24,5 5,7 22,9 19,28
cregen 24 24 25 9 25
vft 0 1 14 27 28
